ENUM VALUES,,,DT-110 EXCEL CALCULATION HELPER SHEET 2015,TIN,,PERIOD (YYYY/MM),,
Resident Type,,Withholding TaxType,Code Description,RATES,Legal Description,,,
NonResident,Non Resident,WNONBPRF,Branch Profits Repatriation Final,8,Repatriated Branch after tax profits,,,
NRPermanentEstb,NON RESIDENT WITH PERMANENT ESTABLISHMENT,WNONDF,Dividend Final,8,Dividend,,,
Resident,RESIDENT,WNONEFF,Endorsement Fees Final,20,Endorsement Fees,,,
,,WNONEPF,Non-resident Entertainer Payments Final,20,"Income of a non-resident public entertainer including a stage, motoin picture or radio artist, musician, athlete or boxer",,,
,,WNONGSF,Goods Services Final,20,"Goods, works and services that give rise to income accruing in or derived from Ghana",,,
,,WNONIICF,Interest Income Company Final,8,Interest Income (excluding payments made to an individual by a resident financial institution or bonds issued by Govt of Ghana),,,
,,WNONINRIEF,Income of Non-Resident Individual from Employment Final,20,Income of Non-Resident Individual from Employment,,,
,,WNONMTSF,Management and Technical Service fees,20,"Management, Consulting and Technical Service fee and endorsement",,,
,,WNONNRLWF,Non Resident Lottery Winnings Final,5,Lottery Winnings,,,
,,WNONNRRF,Natural Resource Royalties Final,15,"Royalties, Natural Resource payments, and Rents",,,
,,WNONPPASF,NonResident Payment Petroleum Agreement  Subcontractors final,15,Petroleum Subcontractor final,,,
,,WNONPPNIF,Premiums Paid  Non Resident Insurers Final,5,Short term Insurance Premiums,,,
,,WNONPRTBF,Payments Received from Transport Business Final,15,Payments received by a paerson who conducts a relevant transport business as payment for i. carrying passengers cargo …,,,
,,WNONPRTCBF,Payments Received from Telecomunication Business Final,15,"Payments recceived by a person who conducts a business of transmitting or receiving messages by cable, radio ….",,,
,,WNONPSF,Payment for Services Final,20,Payment for Services,,,
,,WNRPBPRF,Branch Profits Repatriation Final,10,Repatriated Branch after tax profits,,,
,,WNRPDF,Dividend Final,8,Dividend ,,,
,,WNRPIF,Interest Final,8,Interest Income (excluding payments made to an individual by a resident financial institution or bonds issued by Govt of Ghana),,,
,,WRESCGFOA,Corporate Governance Fees On Account (Directors Fees),20,"Fees, Allowances to resident director/manager, board member or trustee of a company or trust",,,
,,WRESCISAOA,Commission Insurance Sales Agents On Account,10,Commissions to a resident insurance sales or canvassing agent,,,
,,WRESCSAOA,Commission to a Sales Agent On Account,10,Commission to a sales agent,,,
,,WRESDF,Dividend Final,8,Dividend,,,
,,WRESEF,Endorsement (fees) Final,10,Endorsement Fees,,,
,,WRESEFF,"Education Fees Final (Fees to part time teachers, lecturers exam invigilators and supervisors)",10,"Fees to lecturers, invigilators, examiners, examination supervisors, part time teachers or lecturers",,,
,,WRESIEIIRFIOA,Interest (Excluding Individual Interest and Resident Financial Institution) On Account,8,Interest (Excluding individuals and resident financial Institutions),,,
,,WRESIPIOA,Interest Paid to Individuals On Account,8,Interest to Individuals (excluding payments made by resident financial institutions or on bonds issued by the Govt. of Ghana),,,
,,WRESLC,Lotto Commission,10,Commissions to resident lotto receivers or agents,,,
,,WRESPPSOA,Payment to Petroleum Subcontractor On Account,15,Payment to Petroleum Subcontractor,,,
,,WRESPUPMOA,Payment for Unprocessed Precious Minerals On Account,3,Payment for Unprocessed Precious Minerals,,,
,,WRESRLWF,Resident Lottery Winnings Final,5,Lottery Winnings,,,
,,WRESRNRPOA,"Royalty, Natural Resource Payment On Account",15,"Royalty, Natural Resource Payment",,,
,,WRESRPNRPF,Rent Paid for Non-Residential Property Final,15,Rent Paid to a person for non- residential property (Investment Income),,,
,,WRESRPNRPOA,Rent Paid for Non-Residential Property On Account,15,Rent Paid to a person for non- residential property (Business Income),,,
,,WRESRPRPF,Rent Paid for Residential Property Final,8,Rent Paid to an Individual for residential property (Investment Income),,,
,,WRESRPRPOA,Rent Paid for Residential Purposes On Account,8,Rent Paid to an Individual for residential purposes (Business Income),,,
,,WRESSOSIOA,Supply of Other Services to an Individual On Account,15,Supply of Other services to an individual,,,
,,WRESSSOIOA,Supply of Services to a person Other than an Individual,7.5,Supply of Services to a person Other than an Individual,,,
,,WRESSUGEOA,"Supply of Goods Exceeding GHC2,000 per annum",3,"Supply of Goods Exceeding GHC2,000 per annum",,,
,,WRESSWOA,Supply of Works,5,Supply of Works,,,
,,,,,,,,
TABLE DATA,,,,,,,,
Resident Type,TIN,Taxpayer Name,Location of business,Contract Sum,Gross Amount of Payment,Withholding TaxType,Rate,Amount of Tax Withheld
