ENUM VALUES,,,,,,,,,,,,
Commodity Type:,,Product Type:,,Unit Of Measure,,,,,,,,
EXDM,Malt,WHKY, Whiskey,Bar,Barrels,,,,,,,
EXDB,Beer,AKPT,Akpeteshie   ,Kg,Kilogram,,,,,,,
EXDS,Spirits,BSHD,Benson and Hedges,Ltr,Litres,,,,,,,
EXDA,Akpeteshie,BXTN,Buxton,MT,Metric Tonne,,,,,,,
EXDMW,Mineral Water,CGRS,Cigars,TO,Troy Ounce,,,,,,,
EXDWA,Water,CLUB,Club,,,,,,,,,
EXDWIS,Wine(including Sparkling),GIN,Gin,,,,,,,,,
EXDCIGARET,Cigarettes,GINS,Guinness,,,,,,,,,
EXDCIGAR,Cigars,MALT,Malt,,,Use new allocated codes by trader,,,,,,
EXDST,Snuff and Tobacco,MLBR,Marlborough,,,Not those to the left,,,,,,
EXDNH,NegroHead,NGHD,Negrohead,,,,,,,,,
EXDPBPP,Polythene Bags/Plastic Packaging,PLBG,Plastic  Bags,,,,,,,,,
,,RDSP,Red Stripe,,,,,,,,,
,,SNFF,Snuff and other tobacco,,,,,,,,,
,,STAR,Star,,,,,,,,,
,,TIGR,Tiger,,,,,,,,,
,,VDKA,Vodka,,,,,,,,,
,,VLVC,Volvic,,,,,,,,,
,,WTR,Water,,,,,,,,,
,,WINE,Wine,,,,,,,,,
,,,,,,,,,,,,
TABLE DATA,,,,,,,,,,,,
Commodity Type:,Rate of Duty:,Product Type:,Unit Of Measure,Opening Stock:,Quantity Produced:,Quantity Delivered:,Closing Stock:,Ex-Factory Unit Price,Product Value Delivered:,Product Value Delivered for Exports:,Excise Duty Payable:,Excise Duty Payable - Exports:
